10TH,TENTH
11TH,ELEVENTH
12TH,TWELFTH
13TH,THIRTEENTH
14TH,FOURTEENTH
15TH,FIFTEENTH
16TH,SIXTEENTH
17TH,SEVENTEENTH
18TH,EIGHTEENTH
19TH,NINETEENTH
1ST,FIRST
20TH,TWENTIETH
21ST,TWENTYFIRST
22ND,TWENTYSECOND
23RD,TWENTYTHIRD
24TH,TWENTYFOURTH
25TH,TWENTYFIFTH
26TH,TWENTYSIXTH
27TH,TWENTYSEVENTH
28TH,TWENTYEIGHTH
29TH,TWENTYNINTH
2ND,SECOND
30TH,THIRTIETH
31ST,THIRTYFIRST
32ND,THIRTYSECOND
33RD,THIRTYTHIRD
34TH,THIRTYFOURTH
35TH,THIRTYFIFTH
36TH,THIRTYSIXTH
37TH,THIRTYSEVENTH
38TH,THIRTYEIGHTH
39TH,THIRTYNINTH
3RD,THIRD
40TH,FORTIETH
41ST,FORTYFIRST
42ND,FORTYSECOND
43RD,FORTYTHIRD
44TH,FORTYFOURTH
45TH,FORTYFIFTH
46TH,FORTYSIXTH
47TH,FORTYSEVENTH
48TH,FORTYEIGHTH
49TH,FORTYNINTH
4TH,FOURTH
50TH,FIFTIETH
51ST,FIFTYFIRST
52ND,FIFTYSECOND
53RD,FIFTYTHIRD
54TH,FIFTYFOURTH
55TH,FIFTYFIFTH
56TH,FIFTYSIXTH
57TH,FIFTYSEVENTH
58TH,FIFTYEIGHTH
59TH,FIFTYNINTH
5TH,FIFTH
60TH,SIXTIETH
61ST,SIXTYFIRST
62ND,SIXTYSECOND
63RD,SIXTYTHIRD
64TH,SIXTYFOURTH
65TH,SIXTYFIFTH
66TH,SIXTYSIXTH
67TH,SIXTYSEVENTH
68TH,SIXTYEIGHTH
69TH,SIXTYNINTH
6TH,SIXTH
70TH,SEVENTIETH
71ST,SEVENTYFIRST
72ND,SEVENTYSECOND
73RD,SEVENTYTHIRD
74TH,SEVENTYFOURTH
75TH,SEVENTYFIFTH
76TH,SEVENTYSIXTH
77TH,SEVENTYSEVENTH
78TH,SEVENTYEIGHTH
79TH,SEVENTYNINTH
7TH,SEVENTH
80TH,EIGHTIETH
81ST,EIGHTYFIRST
82ND,EIGHTYSECOND
83RD,EIGHTYTHIRD
84TH,EIGHTYFOURTH
85TH,EIGHTYFIFTH
86TH,EIGHTYSIXTH
87TH,EIGHTYSEVENTH
88TH,EIGHTYEIGHTH
89TH,EIGHTYNINTH
8TH,EIGHTH
90TH,NINETIETH
91ST,NINETYFIRST
92ND,NINETYSECOND
93RD,NINETYTHIRD
94TH,NINETYFOURTH
95TH,NINETYFIFTH
96TH,NINETYSIXTH
97TH,NINETYSEVENTH
98TH,NINETYEIGHTH
99TH,NINETYNINTH
9TH,NINTH
AB,ALBERTA
AK,ALASKA
AL,ALABAMA
ALABAMA,AL
ALASKA,AK
ALBERTA,AB
AR,ARKANSAS
ARIZONA,AZ
ARKANSAS,AR
AVE,AVENUE
AVENUE,AVE
AZ,ARIZONA
BC,BRITISH COLUMBIA
CA,CALIFORNIA
CALIFORNIA,CA
CO,COLORADO
COLORADO,CO
CONN,CT
CONNECTICUT,CT
CR,COUNTY ROAD
CT,CONNECTICUT
DC,DISTRICT OF COLUMBIA
DE,DELAWARE
DELAWARE,DE
E,EAST
EAST,E
EST,E
EIGHTEENTH,18TH
EIGHTH,8TH
EIGHTIETH,80TH
EIGHTYEIGHTH,88TH
EIGHTY-EIGHTH,88TH
EIGHTYFIFTH,85TH
EIGHTY-FIFTH,85TH
EIGHTYFIRST,81ST
EIGHTY-FIRST,81ST
EIGHTYFOURTH,84TH
EIGHTY-FOURTH,84TH
EIGHTYNINTH,89TH
EIGHTY-NINTH,89TH
EIGHTYSECOND,82ND
EIGHTY-SECOND,82ND
EIGHTYSEVENTH,87TH
EIGHTY-SEVENTH,87TH
EIGHTYSIXTH,86TH
EIGHTY-SIXTH,86TH
EIGHTYTHIRD,83RD
EIGHTY-THIRD,83RD
ELEVENTH,11TH
FIFTEENTH,15TH
FIFTH,5TH
FIFTIETH,50TH
FIFTYEIGHTH,58TH
FIFTY-EIGHTH,58TH
FIFTYFIFTH,55TH
FIFTY-FIFTH,55TH
FIFTYFIRST,51ST
FIFTY-FIRST,51ST
FIFTYFOURTH,54TH
FIFTY-FOURTH,54TH
FIFTYNINTH,59TH
FIFTY-NINTH,59TH
FIFTYSECOND,52ND
FIFTY-SECOND,52ND
FIFTYSEVENTH,57TH
FIFTY-SEVENTH,57TH
FIFTYSIXTH,56TH
FIFTY-SIXTH,56TH
FIFTYTHIRD,53RD
FIFTY-THIRD,53RD
FIRST,1ST
FL,FLORIDA
FLORIDA,FL
FORTIETH,40TH
FORTYEIGHTH,48TH
FORTY-EIGTH,48TH
FORTYFIFTH,45TH
FORTY-FIFTH,45TH
FORTYFIRST,41ST
FORTY-FIRST,41ST
FORTYFOURTH,44TH
FORTY-FOURTH,44TH
FORTYNINTH,49TH
FORTY-NINTH,49TH
FORTYSECOND,42ND
FORTY-SECOND,42ND
FORTYSEVENTH,47TH
FORTY-SEVENTH,47TH
FORTYSIXTH,46TH
FORTY-SIXTH,46TH
FORTYTHIRD,43RD
FORTY-THIRD,43RD
FOURTEENTH,14TH
FOURTH,4TH
GA,GEORGIA
GEORGIA,GA
HAWAII,HI
HI,HAWAII
HIGHWAY,HWY
HWY,HIGHWAY
IA,IOWA
ID,IDAHO
IDAHO,ID
IL,ILLINOIS
ILLINOIS,IL
IN,INDIANA
INDIANA,IN
IOWA,IA
KANSAS,KS
KENTUCKY,KY
KS,KANSAS
KY,KENTUCKY
LA,LOUISIANA
LOUISIANA,LA
MA,MASSACHUSETTS
MAINE,ME
MANITOBA,MB
MARYLAND,MD
MASSACHUSETTS,MA
MB,MANITOBA
MD,MARYLAND
ME,MAINE
MI,MICHIGAN
MICHIGAN,MI
MINNESOTA,MN
MISSISSIPPI,MS
MISSOURI,MO
MN,MINNESOTA
MO,MISSOURI
MONTANA,MT
MOUNT,MT
MS,MISSISSIPPI
MT,MONTANA
N,NORTH
NE,NEBRASKA
NE,NORTHEAST
NEBRASKA,NE
NEVADA,NV
NEWFOUNDLAND,NF
NF,NEWFOUNDLAND
NINETIETH,90TH
NINETYEIGHTH,98TH
NINETY-EIGHTH,98TH
NINETYFIFTH,95TH
NINETY-FIFTH,95TH
NINETYFIRST,91ST
NINETY-FIRST,91ST
NINETYFOURTH,94TH
NINETY-FOURTH,94TH
NINETYNINTH,99TH
NINETY-NINTH,99TH
NINETYSECOND,92ND
NINETY-SECOND,92ND
NINETYSEVENTH,97TH
NINETY-SEVENTH,97TH
NINETYSIXTH,96TH
NINETY-SIXTH,96TH
NINETYTHIRD,93RD
NINETY-THIRD,93RD
NINTH,9TH
NINETEENTH,19TH
NO,NORTH
NORTH,N
NORTHEST,NE
NORTHWEST,NW
NV,NEVADA
NV,NUNAVUT
NW,NORTHWEST
OH,OHIO
OHIO,OH
OK,OKLAHOMA
OKLAHOMA,OK
ON,ONTARIO
ONTARIO,ON
OR,OREGON
OREGON,OR
PA,PENNSYLVANIA
PENN,PA
PENNSYLVANIA,PA
PQ,QUEBEC
QUEBEC,PQ
RD,ROAD
ROAD,RD
ROUTE,RT
ROUTE,RTE
RT,ROUTE
RTE,ROUTE
S,SOUTH
SO,S
SAINT,ST
SAINTE,STE
SASKATCHEWAN,SK
SE,SOUTHEAST
SECOND,2ND
SEVENTEENTH,17TH
SEVENTH,7TH
SEVENTIETH,70TH
SEVENTYEIGHTH,78TH
SEVENTY-EIGHTH,78TH
SEVENTYFIFTH,75TH
SEVENTY-FIFTH,75TH
SEVENTYFIRST,71ST
SEVENTY-FIRST,71ST
SEVENTYFOURTH,74TH
SEVENTY-FOURTH,74TH
SEVENTYNINTH,79TH
SEVENTY-NINTH,79TH
SEVENTYSECOND,72ND
SEVENTY-SECOND,72ND
SEVENTYSEVENTH,77TH
SEVENTY-SEVENTH,77TH
SEVENTYSIXTH,76TH
SEVENTY-SIXTH,76TH
SEVENTYTHIRD,73RD
SEVENTY-THIRD,73RD
SIXTEENTH,16TH
SIXTH,6TH
SIXTIETH,60TH
SIXTYEIGHTH,68TH
SIXTY-EIGHTH,68TH
SIXTYFIFTH,65TH
SIXTY-FIFTH,65TH
SIXTYFIRST,61ST
SIXTY-FIRST,61ST
SIXTYFOURTH,64TH
SIXTY-FOURTH,64TH
SIXTYNINTH,69TH
SIXTY-NINTH,69TH
SIXTYSECOND,62ND
SIXTY-SECOND,62ND
SIXTYSEVENTH,67TH
SIXTY-SEVENTH,67TH
SIXTYSIXTH,66TH
SIXTY-SIXTH,66TH
SIXTYTHIRD,63RD
SIXTY-THIRD,63RD
SK,SASKATCHEWAN
SOUTH,S
SOUTHEAST,SE
SOUTHWEST,SW
SPG,SPRINGS
SPRINGS,SPG
ST,STREET
STE,SAINTE
STREET,ST
SW,SOUTHWEST
TENNESSEE,TN
TENTH,10TH
TEXAS,TX
THIRD,3RD
THIRTEENTH,13TH
THIRTIETH,30TH
THIRTYEIGHTH,38TH
THIRTY-EIGTH,38TH
THIRTYFIFTH,35TH
THIRTY-FIFTH,35TH
THIRTYFIRST,31ST
THIRTY-FIRST,31ST
THIRTYFOURTH,34TH
THIRTY-FOURTH,34TH
THIRTYNINTH,39TH
THIRTY-NINTH,39TH
THIRTYSECOND,32ND
THIRTY-SECOND,32ND
THIRTYSEVENTH,37TH
THIRTY-SEVENTH,37TH
THIRTYSIXTH,36TH
THIRTY-SIXTH,36TH
THIRTYTHIRD,33RD
THIRTY-THIRD,33RD
TN,TENNESSEE
TWELFTH,12TH
TWENTIETH,20TH
TWENTY-EIGHT,28TH
TWENTYEIGHTH,28TH
TWENTYFIFTH,25TH
TWENTY-FIFTH,25TH
TWENTYFIRST,21ST
TWENTY-FIRST,21ST
TWENTYFOURTH,24TH
TWENTY-FOURTH,24TH
TWENTYNINTH,29TH
TWENTY-NINTH,29TH
TWENTYSECOND,22ND
TWENTY-SECOND,22ND
TWENTYSEVENTH,27TH
TWENTY-SEVENTH,27TH
TWENTYSIXTH,26TH
TWENTY-SIXTH,26TH
TWENTYTHIRD,23RD
TWENTY-THIRD,23RD
TX,TEXAS
US,UNITED STATES
UT,UTAH
UTAH,UT
VA,VIRGINIA
VERMONT,VT
VIRGINIA,VA
VT,VERMONT
W,WEST
WA,WASHINGTON
WASHINGTON,WA
WEST,W
WI,WISCONSIN
WISCONSIN,WI
WST,W
WY,WYOMING
WYOMING,WY
YT,YUKON
YUKON,YT
